Event,Fighter1,Fighter2,Winner,Weightclass,Method,Round,Time,Format,KD1,KD2,SIG_STR1,SIG_STR2,TOTAL_STR1,TOTAL_STR2,TD1,TD2,SUB_ATT1,SUB_ATT2,REV1,REV2,CTRL1,CTRL2,Head1,Head2,Body1,Body2,Leg1,Leg2,Distance1,Distance2,Clinch1,Clinch2,Ground1,Ground2,event_date,f1_dob,f1_height,f1_reach,f2_dob,f2_height,f2_reach,f1_stance,f2_stance
UFC 326: Holloway vs. Oliveira 2,Max Holloway,Charles Oliveira,Charles Oliveira,Lightweight,Decision - Unanimous,5,5:00,5,0,0,26 of 45,50 of 66,73 of 92,110 of 137,0 of 0,5 of 13,0,4,0,0,1:36,20:49,18 of 36,37 of 51,6 of 7,7 of 9,2 of 2,6 of 6,25 of 44,24 of 37,1 of 1,2 of 2,0 of 0,24 of 27,"March 07, 2026","Dec 04, 1991","5' 11""","69""","Oct 17, 1989","5' 10""","74""",Orthodox,Orthodox
UFC 326: Holloway vs. Oliveira 2,Caio Borralho,Reinier de Ridder,Caio Borralho,Middleweight,Decision - Unanimous,3,5:00,3,0,0,57 of 98,55 of 141,71 of 112,111 of 199,1 of 1,2 of 8,0,0,0,0,2:52,2:46,32 of 65,37 of 117,9 of 16,10 of 15,16 of 17,8 of 9,55 of 95,53 of 139,0 of 0,2 of 2,2 of 3,0 of 0,"March 07, 2026","Jan 16, 1993","6' 1""","75""","Sep 07, 1990","6' 4""","78""",Southpaw,Southpaw
UFC 326: Holloway vs. Oliveira 2,Rob Font,Raul Rosas Jr.,Raul Rosas Jr.,Bantamweight,Decision - Unanimous,3,5:00,3,0,0,10 of 31,8 of 33,29 of 50,47 of 75,0 of 1,16 of 18,0,0,1,1,0:13,10:05,6 of 25,5 of 29,2 of 4,0 of 0,2 of 2,3 of 4,10 of 31,8 of 32,0 of 0,0 of 0,0 of 0,0 of 1,"March 07, 2026","Jun 25, 1987","5' 8""","71""","Oct 08, 2004","5' 9""","67""",Orthodox,Switch
UFC 326: Holloway vs. Oliveira 2,Drew Dober,Michael Johnson,Drew Dober,Lightweight,KO/TKO,2,1:53,3,1,0,22 of 55,27 of 76,22 of 55,27 of 76,0 of 0,0 of 0,0,0,0,0,0:00,0:00,9 of 33,18 of 55,7 of 14,0 of 11,6 of 8,9 of 10,21 of 54,27 of 76,0 of 0,0 of 0,1 of 1,0 of 0,"March 07, 2026","Oct 19, 1988","5' 8""","70""","Jun 04, 1986","5' 10""","73""",Southpaw,Southpaw
UFC 326: Holloway vs. Oliveira 2,Gregory Rodrigues,Brunno Ferreira,Gregory Rodrigues,Middleweight,KO/TKO,1,1:47,3,1,0,2 of 6,2 of 5,2 of 6,2 of 5,0 of 0,0 of 0,0,0,0,0,0:00,0:00,1 of 4,1 of 2,1 of 2,0 of 1,0 of 0,1 of 2,2 of 6,2 of 5,0 of 0,0 of 0,0 of 0,0 of 0,"March 07, 2026","Feb 17, 1992","6' 3""","75""","Nov 04, 1992","5' 10""","72""",Orthodox,Orthodox
UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt,Xiao Long,Cody Garbrandt,Bantamweight,Decision - Unanimous,3,5:00,3,0,0,28 of 54,59 of 108,28 of 54,70 of 119,0 of 8,1 of 2,0,0,0,0,0:53,0:47,13 of 39,11 of 41,11 of 11,19 of 28,4 of 4,29 of 39,17 of 42,51 of 99,11 of 12,3 of 4,0 of 0,5 of 5,"March 07, 2026","Jul 07, 1991","5' 8""","65""","Apr 13, 1998","5' 8""","70""",Orthodox,Orthodox
UFC 326: Holloway vs. Oliveira 2,Donte Johnson,Cody Brundage,Donte Johnson,Middleweight,Decision - Split,3,5:00,3,0,0,45 of 106,31 of 83,84 of 146,34 of 88,0 of 0,2 of 7,0,0,1,0,3:32,4:22,35 of 92,19 of 70,4 of 8,2 of 3,6 of 6,10 of 10,35 of 92,31 of 82,0 of 0,0 of 1,10 of 14,0 of 0,"March 07, 2026","Jan 25, 1999","5' 8""","74""","May 16, 1994","6' 0""","72""",Southpaw,Orthodox
UFC 326: Holloway vs. Oliveira 2,Ricky Turcios,Alberto Montes,Alberto Montes,Featherweight,Submission,2,0:40,3,0,0,22 of 60,32 of 58,36 of 74,39 of 65,0 of 3,0 of 0,0,1,0,0,1:54,0:21,14 of 51,19 of 42,3 of 4,10 of 13,5 of 5,3 of 3,20 of 58,26 of 52,2 of 2,6 of 6,0 of 0,0 of 0,"March 07, 2026","Jun 05, 1993","5' 9""","71""","May 31, 1994","5' 7""","69""",Orthodox,Orthodox
UFC 326: Holloway vs. Oliveira 2,Cody Durden,Nyamjargal Tumendemberel,Nyamjargal Tumendemberel,Flyweight,Decision - Unanimous,3,5:00,3,0,0,8 of 21,25 of 42,54 of 69,43 of 60,3 of 8,4 of 4,0,1,3,2,4:50,6:52,5 of 18,20 of 34,0 of 0,1 of 3,3 of 3,4 of 5,7 of 18,7 of 19,1 of 1,1 of 1,0 of 2,17 of 22,"March 07, 2026","Mar 29, 1991","5' 7""","67""","Mar 22, 1998","5' 7""","71""",Southpaw,Orthodox
UFC 326: Holloway vs. Oliveira 2,Sumudaerji,Jesus Aguilar,Sumudaerji,Flyweight,Decision - Unanimous,3,5:00,3,0,0,62 of 148,31 of 106,69 of 156,42 of 120,4 of 5,1 of 5,0,0,0,0,2:36,2:05,44 of 116,12 of 63,11 of 23,8 of 24,7 of 9,11 of 19,55 of 141,30 of 105,3 of 3,1 of 1,4 of 4,0 of 0,"March 07, 2026","Jan 20, 1996","5' 8""","72""","Mar 13, 1996","5' 4""","62""",Southpaw,Orthodox
UFC 326: Holloway vs. Oliveira 2,Rafael Tobias,Diyar Nurgozhay,Diyar Nurgozhay,Light Heavyweight,Decision - Unanimous,3,5:00,3,0,0,39 of 101,94 of 143,52 of 114,100 of 150,2 of 8,0 of 1,1,0,0,1,2:31,1:28,29 of 86,33 of 71,7 of 10,37 of 47,3 of 5,24 of 25,26 of 84,81 of 122,4 of 6,5 of 6,9 of 11,8 of 15,"March 07, 2026","Mar 20, 2003","6' 2""","74""","Apr 22, 1997","6' 2""","74""",Orthodox,Southpaw
UFC 326: Holloway vs. Oliveira 2,Luke Fernandez,Rodolfo Bellato,Rodolfo Bellato,Light Heavyweight,KO/TKO,1,2:42,3,0,1,16 of 33,30 of 46,26 of 43,32 of 48,0 of 0,0 of 0,0,0,0,0,0:22,0:11,12 of 28,24 of 39,3 of 4,4 of 5,1 of 1,2 of 2,9 of 26,9 of 18,7 of 7,1 of 1,0 of 0,20 of 27,"March 07, 2026","Jun 29, 1995","6' 1""","76""","Feb 05, 1996","6' 3""","75""",Orthodox,Orthodox
